,zipcodes,CMPLNT_MONTH,CMPLNT_NUM_count
927,11104,12,91
928,11105,4,76
929,11105,5,91
930,11105,6,72
931,11105,7,122
932,11105,8,119
933,11105,9,71
934,11105,10,80
935,11105,11,61
936,11105,12,74
937,11106,4,180
938,11106,5,177
939,11106,6,184
940,11106,7,237
941,11106,8,185
942,11106,9,170
943,11106,10,164
944,11106,11,165
945,11106,12,135
946,11109,4,60
947,11109,5,85
948,11109,6,82
949,11109,7,80
950,11109,8,77
951,11109,9,68
952,11109,10,82
953,11109,11,55
954,11109,12,57
955,11201,4,335
956,11201,5,325
957,11201,6,343
958,11201,7,349
959,11201,8,367
960,11201,9,360
961,11201,10,362
962,11201,11,319
963,11201,12,308
964,11203,4,306
965,11203,5,312
966,11203,6,303
967,11203,7,368
968,11203,8,385
969,11203,9,308
970,11203,10,273
971,11203,11,253
972,11203,12,255
973,11204,4,164
974,11204,5,180
975,11204,6,184
976,11204,7,156
977,11204,8,190
978,11204,9,183
979,11204,10,166
980,11204,11,133
981,11204,12,141
982,11205,4,168
983,11205,5,220
984,11205,6,214
985,11205,7,216
986,11205,8,219
987,11205,9,213
988,11205,10,214
989,11205,11,227
990,11205,12,204
991,11206,4,421
992,11206,5,493
993,11206,6,431
994,11206,7,486
995,11206,8,506
996,11206,9,543
997,11206,10,554
998,11206,11,437
999,11206,12,401
1000,11207,4,762
1001,11207,5,829
1002,11207,6,741
1003,11207,7,854
1004,11207,8,800
1005,11207,9,759
1006,11207,10,771
1007,11207,11,688
1008,11207,12,637
1009,11208,4,499
1010,11208,5,582
1011,11208,6,525
1012,11208,7,556
1013,11208,8,571
1014,11208,9,595
1015,11208,10,546
1016,11208,11,471
1017,11208,12,435
1018,11209,4,139
1019,11209,5,173
1020,11209,6,165
1021,11209,7,195
1022,11209,8,170
1023,11209,9,186
1024,11209,10,197
1025,11209,11,150
1026,11209,12,142
1027,11210,4,370
1028,11210,5,460
1029,11210,6,392
1030,11210,7,438
1031,11210,8,436
1032,11210,9,439
1033,11210,10,413
1034,11210,11,383
1035,11210,12,404
1036,11211,4,394
1037,11211,5,398
1038,11211,6,426
1039,11211,7,488
1040,11211,8,429
1041,11211,9,455
1042,11211,10,443
1043,11211,11,355
1044,11211,12,291
1045,11212,4,483
1046,11212,5,563
1047,11212,6,510
1048,11212,7,529
1049,11212,8,528
1050,11212,9,504
1051,11212,10,465
1052,11212,11,483
1053,11212,12,430
1054,11213,4,432
1055,11213,5,439
1056,11213,6,492
1057,11213,7,470
1058,11213,8,440
1059,11213,9,457
1060,11213,10,468
1061,11213,11,393
1062,11213,12,402
1063,11214,4,156
1064,11214,5,139
1065,11214,6,180
1066,11214,7,192
1067,11214,8,165
1068,11214,9,149
1069,11214,10,189
1070,11214,11,156
1071,11214,12,124
1072,11215,4,144
1073,11215,5,158
1074,11215,6,197
1075,11215,7,172
1076,11215,8,175
1077,11215,9,186
1078,11215,10,193
1079,11215,11,154
1080,11215,12,136
1081,11216,4,375
1082,11216,5,396
1083,11216,6,436
1084,11216,7,403
1085,11216,8,343
1086,11216,9,406
1087,11216,10,392
1088,11216,11,343
1089,11216,12,323
1090,11217,4,324
1091,11217,5,387
1092,11217,6,411
1093,11217,7,357
1094,11217,8,384
1095,11217,9,355
1096,11217,10,373
1097,11217,11,355
1098,11217,12,273
1099,11218,4,186
1100,11218,5,161
1101,11218,6,196
1102,11218,7,213
1103,11218,8,207
1104,11218,9,207
1105,11218,10,168
1106,11218,11,209
1107,11218,12,162
1108,11219,4,177
1109,11219,5,202
1110,11219,6,183
1111,11219,7,161
1112,11219,8,192
1113,11219,9,168
1114,11219,10,170
1115,11219,11,156
1116,11219,12,162
1117,11220,4,363
1118,11220,5,419
1119,11220,6,431
1120,11220,7,462
1121,11220,8,405
1122,11220,9,396
1123,11220,10,399
1124,11220,11,388
1125,11220,12,303
1126,11221,4,308
1127,11221,5,328
1128,11221,6,352
1129,11221,7,371
1130,11221,8,353
1131,11221,9,328
1132,11221,10,347
1133,11221,11,308
1134,11221,12,257
1135,11222,4,146
1136,11222,5,156
1137,11222,6,175
1138,11222,7,146
1139,11222,8,159
1140,11222,9,175
1141,11222,10,125
1142,11222,11,125
1143,11222,12,123
1144,11223,4,257
1145,11223,5,303
1146,11223,6,228
1147,11223,7,296
1148,11223,8,274
1149,11223,9,283
1150,11223,10,277
1151,11223,11,269
1152,11223,12,272
1153,11224,4,314
1154,11224,5,376
1155,11224,6,374
1156,11224,7,492
1157,11224,8,381
1158,11224,9,318
1159,11224,10,324
1160,11224,11,271
1161,11224,12,257
1162,11225,4,230
1163,11225,5,257
1164,11225,6,230
1165,11225,7,233
1166,11225,8,235
1167,11225,9,217
1168,11225,10,216
1169,11225,11,194
1170,11225,12,207
1171,11226,4,398
1172,11226,5,438
1173,11226,6,430
1174,11226,7,466
1175,11226,8,449
1176,11226,9,466
1177,11226,10,426
1178,11226,11,355
1179,11226,12,360
1180,11228,4,77
1181,11228,5,77
1182,11228,6,62
1183,11228,7,97
1184,11228,8,97
1185,11228,9,103
1186,11228,10,90
1187,11228,11,80
1188,11228,12,82
1189,11229,4,261
1190,11229,5,242
1191,11229,6,244
1192,11229,7,276
1193,11229,8,288
1194,11229,9,257
1195,11229,10,258
1196,11229,11,222
1197,11229,12,226
1198,11230,4,200
1199,11230,5,168
1200,11230,6,191
1201,11230,7,210
1202,11230,8,190
1203,11230,9,185
1204,11230,10,187
1205,11230,11,171
1206,11230,12,160
1207,11231,4,192
1208,11231,5,217
1209,11231,6,217
1210,11231,7,244
1211,11231,8,175
1212,11231,9,197
1213,11231,10,207
1214,11231,11,165
1215,11231,12,139
1216,11233,4,491
1217,11233,5,529
1218,11233,6,522
1219,11233,7,545
1220,11233,8,515
1221,11233,9,517
1222,11233,10,476
1223,11233,11,427
1224,11233,12,399
1225,11234,4,44
1226,11234,5,43
1227,11234,6,38
1228,11234,7,39
1229,11234,8,37
1230,11234,9,27
1231,11234,10,46
1232,11234,11,39
1233,11234,12,32
1234,11235,4,203
1235,11235,5,227
1236,11235,6,233
1237,11235,7,220
1238,11235,8,173
1239,11235,9,202
1240,11235,10,216
1241,11235,11,224
1242,11235,12,213
1243,11236,4,326
1244,11236,5,423
1245,11236,6,424
1246,11236,7,460
1247,11236,8,422
1248,11236,9,428
1249,11236,10,364
1250,11236,11,362
1251,11236,12,338
1252,11237,4,497
1253,11237,5,558
1254,11237,6,536
1255,11237,7,603
1256,11237,8,554
1257,11237,9,562
1258,11237,10,546
1259,11237,11,508
1260,11237,12,446
1261,11238,4,231
1262,11238,5,273
1263,11238,6,315
1264,11238,7,287
1265,11238,8,274
1266,11238,9,284
1267,11238,10,251
1268,11238,11,244
1269,11238,12,229
1270,11239,4,142
1271,11239,5,185
1272,11239,6,171
1273,11239,7,192
1274,11239,8,169
1275,11239,9,181
1276,11239,10,168
1277,11239,11,162
1278,11239,12,156
1279,11351,4,21
1280,11351,5,28
1281,11351,6,23
1282,11351,7,35
1283,11351,8,35
1284,11351,9,29
1285,11351,10,28
1286,11351,11,25
1287,11351,12,16
1288,11354,4,171
1289,11354,5,199
1290,11354,6,201
1291,11354,7,210
1292,11354,8,194
1293,11354,9,191
1294,11354,10,190
1295,11354,11,181
1296,11354,12,160
1297,11355,4,276
1298,11355,5,345
1299,11355,6,303
1300,11355,7,338
1301,11355,8,288
1302,11355,9,281
1303,11355,10,305
1304,11355,11,292
1305,11355,12,275
1306,11356,4,92
1307,11356,5,78
1308,11356,6,84
1309,11356,7,82
1310,11356,8,87
1311,11356,9,74
1312,11356,10,65
1313,11356,11,97
1314,11356,12,79
1315,11357,4,47
1316,11357,5,43
1317,11357,6,65
1318,11357,7,61
1319,11357,8,66
1320,11357,9,44
1321,11357,10,56
1322,11357,11,57
1323,11357,12,50
1324,11358,4,69
1325,11358,5,62
1326,11358,6,80
1327,11358,7,81
1328,11358,8,79
1329,11358,9,77
1330,11358,10,78
1331,11358,11,75
1332,11358,12,85
1333,11359,4,2
1334,11359,5,4
1335,11359,6,4
1336,11359,7,5
1337,11359,8,2
1338,11359,9,2
1339,11359,10,2
1340,11359,11,4
1341,11359,12,4
1342,11360,4,23
1343,11360,5,26
1344,11360,6,30
1345,11360,7,30
1346,11360,8,37
1347,11360,9,33
1348,11360,10,41
1349,11360,11,37
1350,11360,12,36
1351,11361,4,72
1352,11361,5,59
1353,11361,6,71
1354,11361,7,65
1355,11361,8,59
1356,11361,9,77
1357,11361,10,85
1358,11361,11,72
1359,11361,12,56
1360,11362,4,9
1361,11362,5,14
1362,11362,6,17
1363,11362,7,16
1364,11362,8,23
1365,11362,9,12
1366,11362,10,16
1367,11362,11,12
1368,11362,12,14
1369,11363,4,25
1370,11363,5,16
1371,11363,6,9
1372,11363,7,12
1373,11363,8,14
1374,11363,9,14
1375,11363,10,22
1376,11363,11,12
1377,11363,12,14
1378,11364,4,49
1379,11364,5,38
1380,11364,6,42
1381,11364,7,26
1382,11364,8,37
1383,11364,9,34
1384,11364,10,38
1385,11364,11,59
1386,11364,12,37
1387,11365,4,55
1388,11365,5,82
1389,11365,6,61
1390,11365,7,58
1391,11365,8,55
1392,11365,9,93
1393,11365,10,77
1394,11365,11,73
1395,11365,12,57
1396,11366,4,28
1397,11366,5,44
1398,11366,6,48
1399,11366,7,48
1400,11366,8,43
1401,11366,9,53
1402,11366,10,67
1403,11366,11,34
1404,11366,12,32
1405,11367,4,139
1406,11367,5,141
1407,11367,6,130
1408,11367,7,164
1409,11367,8,138
1410,11367,9,135
1411,11367,10,130
1412,11367,11,132
1413,11367,12,130
1414,11368,4,233
1415,11368,5,206
1416,11368,6,205
1417,11368,7,230
1418,11368,8,222
1419,11368,9,225
1420,11368,10,225
1421,11368,11,231
1422,11368,12,190
1423,11369,4,208
1424,11369,5,259
1425,11369,6,252
1426,11369,7,262
1427,11369,8,281
1428,11369,9,263
1429,11369,10,235
1430,11369,11,261
1431,11369,12,219
1432,11370,4,68
1433,11370,5,75
1434,11370,6,64
1435,11370,7,82
1436,11370,8,82
1437,11370,9,90
1438,11370,10,80
1439,11370,11,75
1440,11370,12,52
1441,11371,4,25
1442,11371,5,37
1443,11371,6,36
1444,11371,7,54
1445,11371,8,35
1446,11371,9,42
1447,11371,10,32
1448,11371,11,32
1449,11371,12,30
1450,11372,4,304
1451,11372,5,362
1452,11372,6,393
1453,11372,7,390
1454,11372,8,417
1455,11372,9,404
1456,11372,10,404
1457,11372,11,387
1458,11372,12,297
1459,11373,4,315
1460,11373,5,343
1461,11373,6,314
1462,11373,7,341
1463,11373,8,349
1464,11373,9,328
1465,11373,10,342
1466,11373,11,352
1467,11373,12,297
1468,11374,4,91
1469,11374,5,118
1470,11374,6,107
1471,11374,7,106
1472,11374,8,107
1473,11374,9,101
1474,11374,10,112
1475,11374,11,113
1476,11374,12,82
1477,11375,4,133
1478,11375,5,130
1479,11375,6,110
1480,11375,7,129
1481,11375,8,114
1482,11375,9,123
1483,11375,10,137
1484,11375,11,119
1485,11375,12,133
1486,11377,4,145
1487,11377,5,147
1488,11377,6,177
1489,11377,7,161
1490,11377,8,163
1491,11377,9,151
1492,11377,10,144
1493,11377,11,162
1494,11377,12,140
1495,11378,4,74
1496,11378,5,94
1497,11378,6,104
1498,11378,7,97
1499,11378,8,83
1500,11378,9,80
1501,11378,10,81
1502,11378,11,81
1503,11378,12,71
1504,11379,4,75
1505,11379,5,85
1506,11379,6,102
1507,11379,7,84
1508,11379,8,103
1509,11379,9,73
1510,11379,10,75
1511,11379,11,63
1512,11379,12,76
1513,11385,4,150
1514,11385,5,150
1515,11385,6,184
1516,11385,7,162
1517,11385,8,157
1518,11385,9,164
1519,11385,10,168
1520,11385,11,164
1521,11385,12,139
1522,11411,4,77
1523,11411,5,104
1524,11411,6,99
1525,11411,7,96
1526,11411,8,92
1527,11411,9,91
1528,11411,10,83
1529,11411,11,90
1530,11411,12,84
1531,11412,4,144
1532,11412,5,148
1533,11412,6,155
1534,11412,7,178
1535,11412,8,156
1536,11412,9,156
1537,11412,10,138
1538,11412,11,160
1539,11412,12,127
1540,11413,4,163
1541,11413,5,183
1542,11413,6,197
1543,11413,7,194
1544,11413,8,180
1545,11413,9,154
1546,11413,10,165
1547,11413,11,164
1548,11413,12,163
1549,11414,4,33
1550,11414,5,63
1551,11414,6,42
1552,11414,7,65
1553,11414,8,50
1554,11414,9,44
1555,11414,10,47
1556,11414,11,36
1557,11414,12,32
1558,11415,4,63
1559,11415,5,78
1560,11415,6,76
1561,11415,7,76
1562,11415,8,106
1563,11415,9,106
1564,11415,10,64
1565,11415,11,80
1566,11415,12,80
1567,11416,4,150
1568,11416,5,172
1569,11416,6,154
1570,11416,7,166
1571,11416,8,147
1572,11416,9,138
1573,11416,10,170
1574,11416,11,124
1575,11416,12,135
1576,11417,4,62
1577,11417,5,97
1578,11417,6,91
1579,11417,7,98
1580,11417,8,92
1581,11417,9,104
1582,11417,10,106
1583,11417,11,75
1584,11417,12,76
1585,11418,4,72
1586,11418,5,101
1587,11418,6,75
1588,11418,7,86
1589,11418,8,105
1590,11418,9,110
1591,11418,10,87
1592,11418,11,88
1593,11418,12,72
1594,11419,4,124
1595,11419,5,164
1596,11419,6,139
1597,11419,7,125
1598,11419,8,145
1599,11419,9,145
1600,11419,10,144
1601,11419,11,119
1602,11419,12,112
1603,11420,4,163
1604,11420,5,158
1605,11420,6,191
1606,11420,7,177
1607,11420,8,151
1608,11420,9,159
1609,11420,10,149
1610,11420,11,175
1611,11420,12,155
1612,11421,4,150
1613,11421,5,160
1614,11421,6,170
1615,11421,7,206
1616,11421,8,210
1617,11421,9,162
1618,11421,10,199
1619,11421,11,190
1620,11421,12,144
1621,11422,4,9
1622,11422,5,13
1623,11422,6,19
1624,11422,7,13
1625,11422,8,16
1626,11422,9,22
1627,11422,10,12
1628,11422,11,9
1629,11422,12,7
1630,11423,4,87
1631,11423,5,89
1632,11423,6,95
1633,11423,7,88
1634,11423,8,84
1635,11423,9,92
1636,11423,10,84
1637,11423,11,78
1638,11423,12,85
1639,11426,4,29
1640,11426,5,35
1641,11426,6,37
1642,11426,7,50
1643,11426,8,48
1644,11426,9,37
1645,11426,10,56
1646,11426,11,44
1647,11426,12,38
1648,11427,4,46
1649,11427,5,62
1650,11427,6,53
1651,11427,7,60
1652,11427,8,52
1653,11427,9,43
1654,11427,10,37
1655,11427,11,47
1656,11427,12,51
1657,11428,4,99
1658,11428,5,83
1659,11428,6,98
1660,11428,7,106
1661,11428,8,98
1662,11428,9,103
1663,11428,10,98
1664,11428,11,100
1665,11428,12,89
1666,11429,4,86
1667,11429,5,96
1668,11429,6,105
1669,11429,7,109
1670,11429,8,137
1671,11429,9,101
1672,11429,10,85
1673,11429,11,80
1674,11429,12,98
1675,11430,4,16
1676,11430,5,35
1677,11430,6,35
1678,11430,7,36
1679,11430,8,33
1680,11430,9,45
1681,11430,10,29
1682,11430,11,20
1683,11430,12,27
1684,11432,4,109
1685,11432,5,116
1686,11432,6,128
1687,11432,7,129
1688,11432,8,119
1689,11432,9,127
1690,11432,10,139
1691,11432,11,121
1692,11432,12,119
1693,11433,4,366
1694,11433,5,463
1695,11433,6,450
1696,11433,7,470
1697,11433,8,383
1698,11433,9,419
1699,11433,10,406
1700,11433,11,338
1701,11433,12,369
1702,11434,4,254
1703,11434,5,333
1704,11434,6,266
1705,11434,7,304
1706,11434,8,286
1707,11434,9,265
1708,11434,10,253
1709,11434,11,257
1710,11434,12,232
1711,11435,4,245
1712,11435,5,240
1713,11435,6,245
1714,11435,7,269
1715,11435,8,242
1716,11435,9,217
1717,11435,10,227
1718,11435,11,198
1719,11435,12,213
1720,11436,4,158
1721,11436,5,163
1722,11436,6,162
1723,11436,7,175
1724,11436,8,211
1725,11436,9,162
1726,11436,10,152
1727,11436,11,160
1728,11436,12,133
1729,11509,4,13
1730,11509,5,15
1731,11509,6,15
1732,11509,7,23
1733,11509,8,16
1734,11509,9,15
1735,11509,10,13
1736,11509,11,13
1737,11509,12,8
1738,11516,4,6
1739,11516,5,1
1740,11516,6,2
1741,11516,8,2
1742,11516,9,1
1743,11516,10,3
1744,11516,11,3
1745,11516,12,2
1746,11581,4,29
1747,11581,5,28
1748,11581,6,46
1749,11581,7,39
1750,11581,8,48
1751,11581,9,45
1752,11581,10,30
1753,11581,11,30
1754,11581,12,23
1755,11691,4,263
1756,11691,5,287
1757,11691,6,313
1758,11691,7,353
1759,11691,8,304
1760,11691,9,289
1761,11691,10,263
1762,11691,11,265
1763,11691,12,245
1764,11692,4,171
1765,11692,5,248
1766,11692,6,255
1767,11692,7,262
1768,11692,8,275
1769,11692,9,232
1770,11692,10,196
1771,11692,11,206
1772,11692,12,186
1773,11693,4,5
1774,11693,5,8
1775,11693,6,11
1776,11693,7,8
1777,11693,8,8
1778,11693,9,27
1779,11693,10,12
1780,11693,11,4
1781,11693,12,12
1782,11694,4,55
1783,11694,5,50
1784,11694,6,45
1785,11694,7,66
1786,11694,8,79
1787,11694,9,73
1788,11694,10,62
1789,11694,11,56
1790,11694,12,45
1791,11697,4,2
1792,11697,5,6
1793,11697,6,2
1794,11697,7,3
1795,11697,8,2
1796,11697,9,4
1797,11697,10,2
1798,11697,11,5
1799,11697,12,3
